B156	静かな海を護る「鯨」、動き出す！	潜水母艦「大鯨」または「迅鯨」型を旗艦として、潜水艦/潜水空母2隻以上の第一艦隊を編成！同艦隊で南西諸島沖、製油所地帯沿岸、南西諸島近海、東部オリョール海を哨戒！各海域の制海権を保持せよ！\n\n※第一艦隊 旗艦(「大鯨」「迅鯨型」)より選択+(潜水艦/潜水空母)2隻+自由枠3隻とし\n・(1-2) 南西諸島沖\n・(1-3) 製油所地帯沿岸\n・(2-1) 南西諸島近海\n・(2-3) 東部オリョール海\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B157	主力オブ主力、縦横無尽ッ！	改装甲型駆逐艦4隻の精強第十駆逐隊を含む艦隊で、南西諸島防衛線、バシー海峡、キス島沖、ジャム島沖、マラッカ海峡ペナン島沖深部に展開！各海域の敵艦隊主力を捕捉、これを撃滅せよ！\n\n※「秋雲改二」+「夕雲改二」+「巻雲改二」+「風雲改二」+自由枠2隻とし\n・(1-4) 南西諸島防衛線\n・(2-2) バシー海峡\n・(3-2) キス島沖\n・(4-1) ジャム島沖\n・(7-3-2/P) ペナン島沖深部\nのボス戦で各1回S勝利で達成\n\n※任務進捗変化\n50%(3/5)→80%(4/5)→達成(5/5)
B158	精鋭「二七駆」、回避運動は気をつけて！	第二七駆逐隊特別任務：改装白露型一番艦「白露改二」及び同二番艦「時雨改二」を含む艦隊で、鎮守府近海、沖ノ島沖、ブルネイ泊地沖、サーモン海域北方、グアノ環礁沖海域に出撃！敵を駆逐せよ！\n\n※「白露改二」+「時雨改二」+自由枠4隻とし\n・(1-5) 鎮守府近海\n・(2-5) 沖ノ島沖\n・(7-1) ブルネイ泊地沖\n・(5-5) サーモン海域北方\n・(6-3) グアノ環礁沖海域\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(3/5)→80%(4/5)→達成(5/5)
B159	【艦隊司令部強化】艦隊旗艦、出撃せよ！	旗艦に「大淀」型軽巡または駆逐艦「丹陽」、他に駆逐艦/海防艦3隻以上を擁する第一艦隊を編成、製油所地帯沿岸、南西諸島防衛線、南西諸島近海、バシー海峡に複数回出撃！海域を防衛せよ！\n\n※第一艦隊 旗艦(「大淀」または「丹陽」)+(駆逐/海防)3隻+自由枠2隻とし\n・(1-3) 製油所地帯沿岸\n・(1-4) 南西諸島防衛線\n・(2-1) 南西諸島近海\n・(2-2) バシー海峡\nのボス戦を各2回S勝利で達成\n※旗艦「雪風改二」では達成不可\n\n※任務進捗変化\n(同一海域2回達成を1単位として)\n50%(2/4)→80%(3/4)→達成(4/4)
B160	奇跡の駆逐艦「雪風」、再び出撃す！	旗艦に「丹陽」または帰還後の「雪風改二」を配備した精強な艦隊で、東部オリョール海、沖ノ島海域、沖ノ島沖、アルフォンシーノ方面、マラッカ海峡ペナン島沖深部に展開！敵艦隊主力を捕捉撃滅せよ！\n\n※旗艦(「丹陽」または「雪風改二」)+自由枠5隻とし\n・(2-3) 東部オリョール海\n・(2-4) 沖ノ島海域\n・(2-5) 沖ノ島沖\n・(3-3) アルフォンシーノ方面\n・(7-3-2/P) ペナン島沖深部\nのボス戦を各1回S勝利で達成？\n\n※任務進捗変化\n50%(3/5)→80%(4/5)→達成(5/5)
B161	最精強！「呉の雪風」「佐世保の時雨」	歴戦の精鋭駆逐艦「雪風改二」及び「時雨改二」を配備した艦隊で、サブ島沖海域、サーモン海域北方、カレー洋リランカ島沖、中部北海域ピーコック島沖、KW環礁沖海域に突入！敵戦力を撃滅せよ！\n\n※「雪風改二」+「時雨改二」+自由枠4隻とし\n・(5-3) サブ島沖海域\n・(5-5) サーモン海域北方\n・(4-5) カレー洋リランカ島沖\n・(6-4) 中部北海域ピーコック島沖\n・(6-5) KW環礁沖海域\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(3/5)→80%(4/5)→達成(5/5)
B162	北の海から愛をこめて	任意の艦隊で、北方海域モーレイ海、キス島沖、アルフォンシーノ方面、北方海域全域、北方AL海域において敵艦隊と交戦、これらを撃破、北方の海の制海権を確保せよ！\n\n※編成自由の艦隊とし\n・(3-1) モーレイ海\n・(3-2) キス島沖\n・(3-3) アルフォンシーノ方面\n・(3-4) 北方海域全域\n・(3-5) 北方AL海域\nのボス戦を各1回A勝利以上で達成\n\n※任務進捗変化\n50%(3/5)→80%(4/5)→達成(5/5)
B163	球磨型軽巡一番艦、出撃だクマ！	改装軽巡「球磨改二/球磨改二丁」旗艦の艦隊を、鎮守府近海航路、南西諸島バシー海峡、北方海域キス島沖、南西海域マラッカ海峡ペナン島沖深部へ展開！各方面の作戦を成功させよ！\n\n※旗艦「球磨改二/改二丁」+自由枠5隻とし\n・(2-2) バシー海峡\n・(3-2) キス島沖\n・(7-3-2/P) ペナン島沖深部\nのボス戦を各1回S勝利\n・(1-6) 鎮守府近海航路\nを1回クリア(ゴール地点へ到達)で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B164	改装最新鋭軽巡「能代改二」、出撃せよ！	旗艦に「能代改二」、同指揮下に駆逐艦3隻以上を配備した艦隊で、沖ノ島海域、キス島沖、サブ島沖海域、ブルネイ泊地沖、タウイタウイ泊地沖深部に出撃！敵艦隊を捕捉撃滅せよ！\n\n※旗艦「能代改二」+駆逐3隻+自由枠2隻とし\n・(2-4) 沖ノ島海域\n・(3-2) キス島沖\n・(5-3) サブ島沖海域\n・(7-1) ブルネイ泊地沖\n・(7-2-2/M) タウイタウイ泊地沖深部\nのボス戦を各1回S勝利で達成？\n\n※任務進捗変化\n50%(3/5)→80%(4/5)→達成(5/5)
B165	精鋭「第七駆逐隊」、出撃せよ！	精鋭七駆任務：第七駆逐隊「曙改二」「潮改二」を含む精鋭艦隊で、南西諸島海域東部オリョール海、北方海域キス島沖、西方海域カスガダマ島、南方海域サーモン海域に展開、敵艦隊を撃滅せよ！\n\n※「曙改二」+「潮改二」+自由枠4隻とし\n・(2-3) 東部オリョール海\n・(3-2) キス島沖\n・(4-4) カスガダマ島\n・(5-4) サーモン海域\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B166	改装航空巡洋艦「最上」、抜錨せよ！	旗艦に改装航空巡洋艦「最上改二(改二特含む)」を配備した精鋭艦隊で、南西諸島海域バシー海峡、沖ノ島海域、西方海域カレー洋リランカ島沖、南方海域前面に展開、敵艦隊を撃滅せよ！\n\n※旗艦「最上改二/改二特」+自由枠5隻とし\n・(2-2) バシー海峡\n・(2-4) 沖ノ島海域\n・(4-5) カレー洋リランカ島沖\n・(5-1) 南方海域前面\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B167	西村艦隊、精鋭先行掃討隊、前進せよ！	「最上改二(改二特含む)」旗艦、時雨・満潮・朝雲・山雲より2隻を配備した艦隊で、東部オリョール海、中部北海域ピーコック島沖、タウイタウイ泊地沖深部、マラッカ海峡ペナン島沖深部の敵を撃滅せよ！\n\n※旗艦「最上改二/改二特」+(「時雨」「満潮」「朝雲」「山雲」)より2隻+自由枠3隻とし\n・(2-3) 東部オリョール海\n・(6-4) 中部北海域ピーコック島沖\n・(7-2-2/M) タウイタウイ泊地沖深部\n・(7-3-2/P) ペナン島沖深部\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B168	二水戦旗艦、この「矢矧」が預かります！	旗艦に「矢矧改二(改二乙含む)」、随伴駆逐艦2隻を配備した精鋭水雷戦隊で、南西諸島防衛線、沖ノ島沖、サブ島沖海域、サーモン海域北方の敵艦隊を撃滅せよ！二水戦旗艦「矢矧」、抜錨！\n\n※旗艦「矢矧改二/改二乙」+駆逐2隻+自由枠3隻とし\n・(1-4) 南西諸島防衛線\n・(2-5) 沖ノ島沖\n・(5-3) サブ島沖海域\n・(5-5) サーモン海域北方\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B169	新しき翼。改装航空母艦「龍鳳」、出撃せよ！	旗艦に「龍鳳改二(改二戊含む)」、随伴に「時雨改二」を編成した第一艦隊で南西諸島海域バシー海峡、東部オリョール海、沖ノ島海域、沖ノ島沖、タウイタウイ泊地沖深部へ出撃。敵艦隊を捕捉撃滅せよ！\n\n※第一艦隊 旗艦「龍鳳改二/改二戊」+「時雨改二」+自由枠4隻とし\n・(2-2) バシー海峡\n・(2-3) 東部オリョール海\n・(2-4) 沖ノ島海域\n・(2-5) 沖ノ島沖\n・(7-2-2/M) タウイタウイ泊地沖深部\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(3/5)→80%(4/5)→達成(5/5)
B170	改装特務空母「Gambier Bay Mk.II」抜錨！	旗艦「Gambier Bay Mk.II」、僚艦に「Fletcher級駆逐艦」1隻以上を含む第一艦隊で、沖ノ島海域、北方AL海域の敵艦隊を反復撃滅、中部北海域ピーコック島沖に反復展開、同地の敵を撃破せよ！\n\n※第一艦隊 旗艦「Gambier Bay Mk.II」+(「Johnston」「Fletcher」)より1隻+自由枠4隻とし\n・(2-4) 沖ノ島海域\n・(3-5) 北方AL海域\nのボス戦を各2回S勝利\n・(6-4) 中部北海域ピーコック島沖\nのボス戦を各2回A勝利以上で達成\n\n※任務進捗変化\n(同一海域2回達成を1単位として)\n50%(1/3)→80%(2/3)→達成(3/3)
B171	【作戦準備】第二段階任務(対地/対空整備)	作戦準備(第二段階任務)：駆逐艦を3隻以上編成した艦隊で、製油所地帯沿岸、南西諸島防衛線、南西諸島近海、南西諸島海域バシー海峡へ出撃、各作戦海域の敵を撃滅、制海権を確保せよ！\n\n※駆逐艦3隻+自由枠3隻とし\n・(1-3) 製油所地帯沿岸\n・(1-4) 南西諸島防衛線\n・(2-1) 南西諸島近海\n・(2-2) バシー海峡\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B172	「山風改二」、抜錨せよ！	「山風改二/丁」を旗艦として、駆逐艦及び海防艦計3隻以上を編成した艦隊で、南西諸島沖、製油所地帯沿岸、南西諸島防衛線、鎮守府近海へ出撃！近海に侵入した敵を撃滅せよ！\n\n※旗艦「山風改二/改二丁」+随伴(駆逐艦/海防艦)2隻+自由枠3隻とし\n・(1-2) 南西諸島沖\n・(1-3) 製油所地帯沿岸\n・(1-4) 南西諸島防衛線\n・(1-5) 鎮守府近海\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B173	改白露型駆逐艦「山風改二」、奮戦す！	「山風改二/丁」「江風改二」「海風改二」のうち2隻以上を含む艦隊で、南西諸島海域バシー海峡、タウイタウイ泊地沖深部、南方海域前面、中部北海域ピーコック島沖へ出撃、敵戦力を撃滅せよ！\n\n※(「山風改二/改二丁」「江風改二」「海風改二」)より2隻+自由枠4隻とし\n・(2-2) バシー海峡\n・(7-2-2/M) タウイタウイ泊地沖深部\n・(5-1) 南方海域前面\n・(6-4) 中部北海域ピーコック島沖\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B174	奮戦！精鋭「第十五駆逐隊」第一小隊	第十五駆逐隊任務：「親潮改二」及び「黒潮改二」を配備した艦隊で、南西諸島海域沖ノ島海域、南方海域サーモン海域、南西海域タウイタウイ泊地沖深部へ反復出撃。敵艦隊を捕捉撃滅せよ！\n\n※「親潮改二」+「黒潮改二」+自由枠4隻とし\n・(2-4) 沖ノ島海域\n・(5-4) サーモン海域\n・(7-2-2/M) タウイタウイ泊地沖深部\nのボス戦を各2回S勝利で達成\n\n※任務進捗変化\n(同一海域2回達成を1単位として)\n50%(1/3)→80%(2/3)→達成(3/3)
B175	南西海域「基地航空隊」開設！	南西諸島近海、バシー海峡、東部オリョール海、ペナン島沖深部の敵艦隊を撃滅！昭南本土航路で台湾に寄港。「設営隊」x1を用意して、同地にエアカバーする南西海域「基地航空隊」を展開せよ！\n\n※編成自由の艦隊とし\n・(2-1) 南西諸島近海\n・(2-2) バシー海峡\n・(2-3) 東部オリョール海\n・(7-3-2/P) ペナン島沖深部\nのボス戦を各1回S勝利、及び\n・(7-4) 昭南本土航路\nのOマス到達で達成\n\n※任務進捗変化\n50%(3/5)→80%(4/5)→達成(5/5)\n\n※消費アイテム\n・設営隊 -1
B176	海上護衛！ヒ船団を護り抜け！	ヒ船団海上護衛任務：南西海域：昭南本土航路における作戦を完遂し、昭南から本土方面に向かうヒ船団を、その脅威から護り抜け！艦隊、基地航空隊、出撃せよ！\n\n※編成自由の艦隊とし\n・(7-4) 昭南本土航路\nのゲージ撃破で達成\n(ゲージ撃破後の受諾でも達成可)\n\n※任務進捗変化\n(0/1)→達成(1/1)
B177	航空母艦「雲鷹」、抜錨せよ！	空母「雲鷹」(※八幡丸も可)を旗艦とした艦隊を編成、昭南本土航路、タウイタウイ泊地深部、沖ノ島沖、中部北海域ピーコック島沖の敵戦力を撃破せよ！　航空母艦「雲鷹」、出撃！\n\n※旗艦「八幡丸/雲鷹/改/改二」+自由枠5隻とし\n・(2-5) 沖ノ島沖\n・(7-2-2/M) タウイタウイ泊地沖深部\n・(7-4) 昭南本土航路\n・(6-4) 中部北海域ピーコック島沖\nのボス戦を各1回A勝利以上で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B178	改特型駆逐艦「天霧改二」、出撃す！	「天霧改二/丁」、さらに「青葉」「大井」「狭霧」中の2隻を含む艦隊で、バシー海峡、ペナン島沖深部、南方海域前面、サーモン海域、中部北海域ピーコック島沖へ出撃！全力で敵艦隊を捕捉撃滅せよ！\n\n※「天霧改二/改二丁」+(「青葉」「大井」「狭霧」)より2隻+自由枠3隻とし\n・(2-2) バシー海峡\n・(7-3-2/P) ペナン島沖深部\n・(5-1) 南方海域前面\n・(5-4) サーモン海域\n・(6-4) 中部北海域ピーコック島沖\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(3/5)→80%(4/5)→達成(5/5)
B179	第十六戦隊、改装「浦波改二」出撃します！	「浦波改二」、さらに「青葉」「鬼怒」を含む艦隊で、南西諸島防衛線、東部オリョール海、沖ノ島沖、タウイタウイ泊地沖深部、昭南本土航路へ出撃！敵艦隊を捕捉撃滅せよ！\n\n※「浦波改二」+「青葉」+「鬼怒」+自由枠3隻とし\n・(1-4) 南西諸島防衛線\n・(2-3) 東部オリョール海\n・(2-5) 沖ノ島沖\n・(7-2-2/M) タウイタウイ泊地沖深部\n・(7-4) 昭南本土航路\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(3/5)→80%(4/5)→達成(5/5)
B180	「磯波改二」、抜錨せよ！	改装特I型駆逐艦「磯波改二」を含む有力な艦隊で、鎮守府海域南西諸島沖、製油所地帯沿岸、さらに南方海域前面に展開！各作戦海域の敵艦隊を捕捉、これを撃滅せよ！\n\n※「磯波改二」+自由枠5隻とし\n・(1-2) 南西諸島沖\n・(1-3) 製油所地帯沿岸\n・(5-1) 南方海域前面\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(1/3)→80%(2/3)→達成(3/3)
B181	改大和型戦艦「大和改二」、出撃せよ！	旗艦「大和改二/重」、随伴艦軽巡1隻、駆逐艦2隻以上の艦隊で、鎮守府海域南西諸島防衛線、南西諸島海域沖ノ島沖、南方海域前面、西方海域カスガダマ島に出撃！敵艦隊を撃滅せよ！\n\n※旗艦「大和改二/改二重」+軽巡1隻+駆逐艦2隻+自由枠2隻とし\n・(1-4) 南西諸島防衛線\n・(2-5) 沖ノ島沖\n・(5-1) 南方海域前面\n・(4-4) カスガダマ島\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B182	見敵必殺！最精鋭大和型「第一戦隊」抜錨！	改大和型戦艦二隻「大和改二/重」及び「武蔵改二」、随伴駆逐艦2隻以上の艦隊を展開！カレー洋リランカ島沖、サブ島沖海域、タウイタウイ泊地沖深部、KW環礁沖海域の敵を撃滅せよ！\n\n※「大和改二/改二重」+「武蔵改二」+駆逐艦2隻+自由枠2隻とし\n・(4-5) カレー洋リランカ島沖\n・(5-3) サブ島沖海域\n・(7-2-2/M) タウイタウイ泊地沖深部\n・(6-5) KW環礁沖海域\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B183	【拡張作戦】重改装「大和改二重」、出撃！	【拡張作戦】重改装「大和改二重」を旗艦とする有力な艦隊で、ペナン島沖深部、昭南本土航路、サーモン海域北方、中部北海域ピーコック島沖に出撃！各戦域の敵戦力を撃滅粉砕せよ！\n\n※旗艦「大和改二重」+自由枠5隻とし\n・(7-3-2/P) ペナン島沖深部\n・(7-4) 昭南本土航路\n・(5-5) サーモン海域北方\n・(6-4) 中部北海域ピーコック島沖\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B184	抜錨！精強「第十五駆逐隊」	第十五駆逐隊「早潮改二」「親潮改二」「黒潮改二」のうち二隻以上を含む艦隊で、沖ノ島海域、南方海域サーモン海域、サーモン海域北方、中部北海域ピーコック島沖の敵戦力を撃滅せよ！\n\n※(「早潮改二」「親潮改二」「黒潮改二」)より2隻+自由枠4隻とし\n・(2-4) 沖ノ島海域\n・(5-4) サーモン海域\n・(5-5) サーモン海域北方\n・(6-4) 中部北海域ピーコック島沖\nボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B185	米駆逐艦部隊の奮戦	「Fletcher級」及び「John C.Butler級」のうち二隻以上を含む艦隊で、南西諸島東部オリョール海、中部北海域ピーコック島沖、南西海域ペナン島沖深部、昭南本土航路に反復出撃！敵を撃滅せよ！\n\n※(「Fletcher級」「John C.Butler級」)より2隻+自由枠4隻とし\n・(2-3) 東部オリョール海\n・(6-4) 中部北海域ピーコック島沖\n・(7-3-2/P) ペナン島沖深部\n・(7-4) 昭南本土航路\nボス戦を各2回S勝利で達成\n\n※任務進捗変化\n(同一海域2回達成を1単位として)\n50%(2/4)→80%(3/4)→達成(4/4)
B186	Samuel B.Roberts Mk.II、抜錨せよ！	改装されたSamuel B.Roberts Mk.IIを旗艦とする艦隊で、鎮守府近海、鎮守府近海航路を守り、南西諸島バシー海峡、北方AL海域に出撃、同海域の敵艦隊を撃滅せよ！　Thanks a lot !\n\n※旗艦「Samuel B.Roberts Mk.II」+自由枠5隻とし\n・(1-5) 鎮守府近海\n・(2-2) バシー海峡\n・(3-5) 北方AL海域\nのボス戦を各1回S勝利?\n・(1-6) 鎮守府近海航路\nを1回クリア(ゴール地点へ到達)で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B187	不屈敢闘「Taffy Ⅲ」、Weigh anchor!	「Gambier Bay」「Johnston」「Samuel B.Roberts」基幹の“Taffy Ⅲ”を編成、東部オリョール海、沖ノ島沖、カレー洋リランカ島沖、サーモン海域北方に展開、同海域の敵を捕捉、これを撃滅せよ！\n\n※「Gambier Bay」+「Johnston」+「Samuel B.Roberts」+自由枠3隻とし\n・(2-3) 東部オリョール海\n・(2-5) 沖ノ島沖\n・(4-5) カレー洋リランカ島沖\n・(5-5) サーモン海域北方\nのボス戦を各1回S勝利?で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B188	機動部隊旗艦「鳳翔改二」、前線に出撃せよ！	「鳳翔改二/戦」を旗艦とする艦隊で、南西諸島海域沖ノ島沖、北方AL海域、カレー洋リランカ島沖、南方海域珊瑚諸島沖、中部北海域ピーコック島沖、昭南本土航路に展開！敵戦力を撃滅せよ！\n\n※旗艦「鳳翔改二/改二戦」+自由枠5隻とし、\n・(2-5) 沖ノ島沖\n・(3-5) 北方AL海域\n・(4-5) カレー洋リランカ島沖\n・(5-2) 珊瑚諸島沖\n・(6-4) 中部北海域ピーコック島沖\n・(7-4) 昭南本土航路\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(3/6)→80%(5/6)→達成(6/6)
B189	改装特I型駆逐艦「深雪改二」、出撃せよ！	改装特I型駆逐艦「深雪改二」及び同僚艦に吹雪型駆逐艦1隻を含む精鋭艦隊で、北方キス島沖、南方サブ島沖海域、中部北海域ピーコック島沖、南西海域ペナン島沖深部の敵戦力を撃滅せよ！\n\n※「深雪改二」+吹雪型1隻+自由枠4隻とし\n・(3-2) キス島沖\n・(5-3) サブ島沖海域\n・(6-4) 中部北海域ピーコック島沖\n・(7-3-2/P) ペナン島沖深部\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B190	改金剛型高速戦艦「榛名改二乙/丙」、抜錨！	「榛名改二乙/丙」「金剛改二丙」及び駆逐艦2隻以上を含む精鋭艦隊で、バシー海峡、沖ノ島海域、ジャワ島沖最深部、リランカ島、南方サブ島沖海域、サーモン海域の敵戦力を撃滅せよ！抜錨！\n\n※「榛名改二乙/丙」+「金剛改二丙」+駆逐艦2隻+自由枠2隻とし\n・(2-2) バシー海峡\n・(2-4) 沖ノ島海域\n・(7-5-3/T) ジャワ島沖深部\n・(4-3) リランカ島\n・(5-3) サブ島沖海域\n・(5-4) サーモン海域\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化;\n50%(3/6)→80%(5/6)→達成(6/6)
B191	【海上護衛作戦】海上補給線を確保せよ！	海上護衛任務：海防艦3隻または駆逐艦4隻または水上機母艦2隻を含む艦隊で、製油所地帯沿岸、鎮守府近海、鎮守府近海航路、南西諸島バシー海峡に反復出撃！重要な海上補給線を確保せよ！\n\n※海防艦3隻+自由枠3隻\n駆逐艦4隻+自由枠2隻\n水母2隻+自由枠4隻　のいずれかとし\n・(1-3) 製油所地帯沿岸\n・(1-5) 鎮守府近海\n・(2-2) バシー海峡\nのボス戦を各2回S勝利以上、及び\n・(1-6) 鎮守府近海航路\n2回クリア(ゴール地点へ到達)で達成\n\n※任務進捗変化(2回クリア(ゴール地点へ到達)を1単位とする)\n50%(2/4)→80%(3/4)→達成(4/4)\n\n
B192	改装白露型精鋭駆逐艦「時雨改三」出撃す！	「時雨改三」及び第二七駆逐隊(白露・有明・夕暮)僚艦1隻を含む艦隊で、沖ノ島沖、昭南本土航路、カレー洋リランカ島沖、サーモン海域北方、中部北海域ピーコック島沖の敵戦力を撃滅せよッ！\n\n※「時雨改三」+(「白露」「有明」「夕暮」)より1隻+自由枠4隻とし\n・(2-5) 沖ノ島沖\n・(7-4) 昭南本土航路\n・(4-5) カレー洋リランカ島沖\n・(5-5) サーモン海域北方\n・(6-4) 中部北海域ピーコック島沖\nのボス戦を各1回S勝利？で達成\n\n※任務進捗変化
B193	改装駆逐艦「天津風改二」、抜錨せよ！	改装駆逐艦「天津風改二」旗艦の艦隊で、南西諸島海域沖ノ島沖、中部北海域ピーコック島沖、南方海域サブ島沖海域及びサーモン海域、南西海域昭南本土航路に展開！敵戦力を撃滅せよ！\n\n※旗艦「天津風改二」+自由枠5隻とし\n・(2-5) 沖ノ島沖\n・(7-4) 昭南本土航路\n・(5-3) サブ島沖海域\n・(5-4) サーモン海域\n・(6-4) 中部北海域ピーコック島沖\nのボス戦を各1回S勝利？で達成\n\n※任務進捗変化\n50%(3/5)→80%(4/5)→達成(5/5)
B194	主力オブ主力「清霜改二」、出撃せよ！	改夕雲型駆逐艦「清霜改二/丁」、さらに随伴艦に「霞」「朝霜」「大淀」「足柄」から２隻配備。同艦隊でバシー海峡、東部オリョール海、沖ノ島海域、昭南本土航路に出撃！各海域の敵戦力を撃滅せよ！\n\n「清霜改二/丁」+（「霞」「朝霜」「大淀」「足柄」）より2隻+自由枠3隻とし\n・(2-2) バシー海峡\n・(2-3) 東部オリョール海\n・(2-4) 沖ノ島海域\n・(7-4) 昭南本土航路\nのボス戦を各1回S勝利？で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B195	【潜水艦任務】潜水艦、戦闘哨戒！	USS潜水艦「Salmon」または「Scamp」を旗艦とした艦隊で、南西諸島沖海域、製油所地帯沿岸、東部オリョール海、北方モーレイ海の戦闘哨戒を実施！各海域の敵艦隊を痛打！これを撃滅せよ！\n\n※旗艦「Salmon」または「Scamp」＋自由枠5隻とし\n・(1-2) 南西諸島沖\n・(1-3) 製油所地帯沿岸\n・(2-3) 東部オリョール海\n・(3-1) モーレイ海\nのボス戦を各1回S勝利で達成
B196	改装航空巡洋艦「三隈」、進発せよ！	旗艦に改装航空巡洋艦「三隈改二/改二特」を配備した艦隊で、南西諸島海域東部オリョール海、沖ノ島海域、西方海域カレー洋リランカ島沖、中部北海域ピーコック島沖に展開、敵艦隊を撃滅せよ！\n\n※旗艦「三隈改二/改二特」+自由枠5隻とし、\n・(2-3) 東部オリョール海\n・(2-4) 沖ノ島海域\n・(4-5) カレー洋リランカ島沖\n・(6-4) 中部北海域ピーコック島沖\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n？→？→？
Bd1	敵艦隊を撃破せよ！	艦隊を出撃させ、敵艦隊を捕捉、これを撃滅せよ！\n\n※どこでも1回勝利で達成
Bd2	敵艦隊主力を撃滅せよ！	艦隊を出撃させ、敵艦隊「主力」を捕捉！これを撃滅せよ！\n\n※戦闘(敗北でも可)を1回することで任務達成\n
Bd3	敵艦隊を10回邀撃せよ！	艦隊全力出撃！遊弋する敵艦隊を10回邀撃せよ！\n\n※戦闘10回で達成。全て敗北でもよい
Bd4	敵空母を３隻撃沈せよ！	艦隊の脅威となる敵空母群。これを捕捉撃滅し、3隻轟沈せよ！\n\n※敵の(空母/軽空母)を3隻撃沈で達成\n\n(※装甲空母姫・装甲空母鬼は敵空母に含まれない)
Bd5	敵補給艦を3隻撃沈せよ！	艦隊を出撃させ、敵補給艦を捕捉、これを撃滅せよ！\n\n※輸送船と補給艦は同じ扱い\n\n(※輸送船の出現海域)
Bd6	敵輸送船団を叩け！	敵の輸送船5隻以上を撃沈し、敵の補給路を寸断せよ！\n\n※輸送船と補給艦は同じ扱い\n\n(※輸送船の出現海域)
Bd7	南西諸島海域の制海権を握れ！	艦隊を南西諸島海域に全力出撃させ、多数の敵艦隊「主力」群を捕捉、撃滅せよ！\n\n※編成自由の艦隊とし\n・(2-1) 南西諸島近海\n・(2-2) バシー海峡\n・(2-3) 東部オリョール海\n・(2-4) 沖ノ島海域\n・(2-5) 沖ノ島沖\nより任意のボス戦の組み合わせで5回B勝利以上で達成\n\n※任務進捗変化\n50%(3/5)→80%(4/5)→達成(5/5)\n\n(※鎮守府海域の「南西諸島沖(1-2)」「南西諸島防衛線(1-4)」は含まれない)
Bd8	敵潜水艦を制圧せよ！	対潜能力の充実した艦隊で出撃、敵潜水艦狩りを実施せよ！\n\n※潜水艦6隻撃沈で達成
Bw1	あ号作戦	1週間の全力出撃を行い、可能な限り多くの敵艦隊を捕捉、これを迎撃せよ！\n\n※以下の全条件を満たすことで達成*24\n・出撃 36回\n・S勝利 6回\n・ボス到達 24回\n・ボス戦勝利 12回\n\n※進行度の算出方法が特殊
Bw2	い号作戦	有力な母艦航空隊で1週間の全力出撃を行い、可能な限り多くの敵空母を撃滅せよ！\n\n※敵の(空母/軽空母)を20隻撃沈で達成\n\n(※装甲空母姫・装甲空母鬼は敵空母に含まれない)
Bw3	海上通商破壊作戦	1週間で敵輸送船を20隻以上撃沈せよ！\n\n※輸送船20隻撃沈で達成\n(※輸送船の出現海域)
Bw4	ろ号作戦	1週間の全力出撃を行い、敵輸送船団を捕捉・撃滅、敵の補給路を寸断せよ！\n\n※輸送船50隻撃沈で達成\n(※輸送船の出現海域)
